Name,Sex,Event,Equipment,Age,AgeClass,BirthYearClass,Division,BodyweightKg,WeightClassKg,Best3SquatKg,Best3BenchKg,Best3DeadliftKg,TotalKg,Place,Dots,Wilks,Glossbrenner,Goodlift,Tested,Country,State,Federation,ParentFederation,Date,MeetCountry,MeetState,MeetTown,MeetName,Sanctioned
Jenna Fox,F,SBD,Raw,27.5,24-34,24-39,FR-O,70.6,72,125,67.5,140,332.5,1,334.64,328.86,289.82,68.03,Yes,USA,IL,USAPL,IPF,3/14/20,USA,IA,,Quad City Throwdown,Yes
Heather Wenzel,F,SBD,Raw,31.5,24-34,24-39,FR-O,51.8,52,105,45,130,280,1,342.21,350.1,310.38,70.94,Yes,USA,IL,USAPL,IPF,3/14/20,USA,IA,,Quad City Throwdown,Yes
Megan Bern,F,SBD,Raw,43.5,40-44,40-49,FR-O,82,84,122.5,67.5,150,340,1,316.5,306.97,268.8,64.83,Yes,USA,IL,USAPL,IPF,3/14/20,USA,IA,,Quad City Throwdown,Yes
Teale Witherell,F,SBD,Raw,30.5,24-34,24-39,FR-O,91.2,84+,130,55,157.5,342.5,2,303.58,294.35,255.53,62.79,Yes,USA,IL,USAPL,IPF,3/14/20,USA,IA,,Quad City Throwdown,Yes
Katrina Brown,F,SBD,Raw,33.5,24-34,24-39,FR-O,62,63,107.5,52.5,125,285,1,309.54,309.82,273.63,63.01,Yes,USA,IL,USAPL,IPF,3/14/20,USA,IA,,Quad City Throwdown,Yes
Kimberly Carlson,F,SBD,Raw,53.5,50-54,50-59,FR-O,52,52,92.5,50,105,247.5,2,301.68,308.54,273.5,62.5,Yes,USA,IL,USAPL,IPF,3/14/20,USA,IA,,Quad City Throwdown,Yes
Heidi Tinney,F,SBD,Raw,47.5,45-49,40-49,FR-O,60.8,63,80,50,100,230,2,252.85,253.81,224.22,51.52,Yes,USA,IL,USAPL,IPF,3/14/20,USA,IA,,Quad City Throwdown,Yes
Ashli Seukunian,F,SBD,Raw,33.5,24-34,24-39,FR-O,49.4,52,45,40,102.5,187.5,3,236.98,243.07,215.98,49.56,Yes,USA,IL,USAPL,IPF,3/14/20,USA,IA,,Quad City Throwdown,Yes
Jay Cisneros,M,SBD,Raw,36.5,35-39,24-39,MR-O,93,93,185,127.5,232.5,545,1,346.76,342.36,327.68,71.3,Yes,USA,IL,USAPL,IPF,3/14/20,USA,IA,,Quad City Throwdown,Yes
Jamie Villegas,F,SBD,Raw,29.5,24-34,24-39,FR-O,54.9,56,120,57.5,137.5,315,1,369.98,376.44,333.12,76.06,Yes,USA,IL,USAPL,,9/16/23,USA,FL,,Orlando Powerfest,Yes
Mike Villegas,M,SBD,Raw,30.5,24-34,24-39,MR-O,107.3,110,255,152.5,267.5,675,2,403.61,400.39,382.44,82.51,Yes,USA,IL,USAPL,,9/16/23,USA,FL,,Orlando Powerfest,Yes
Sina Gartner,F,SBD,Raw,28.5,24-34,24-39,FR-O,64.75,67.5,132.5,87.5,162.5,382.5,2,404.65,402.43,355.23,82.25,Yes,USA,IL,USAPL,,4/16/22,USA,FL,,6th Annual Capital City Barbell Championships,Yes
Lexi Bergquist,F,SBD,Raw,22.5,20-23,19-23,FR-O,65.28,67.5,117.5,62.5,137.5,317.5,3,334.26,332.03,293.05,67.93,Yes,USA,IL,USAPL,,4/30/22,USA,CO,,Rise of the Kilonator,Yes
Candyce Jupiter,F,SBD,Raw,34.5,24-34,24-39,FR-O,86.8,90,117.5,62.5,142.5,322.5,2,292.24,283.1,246.87,60.15,Yes,USA,IL,USAPL,,6/24/23,USA,MO,,STL Toasted Summer Throwdown,Yes
Tamara Johnson,F,SBD,Raw,44.5,40-44,40-49,FR-O,123.6,100+,70,60,77.5,207.5,1,165.16,165.06,139.64,35.4,Yes,USA,IL,USAPL,,6/24/23,USA,MO,,STL Toasted Summer Throwdown,Yes
Rachel Byrnes,F,SBD,Raw,40.5,40-44,40-49,FR-O,81.3,82.5,115,70,145,330,2,308.48,299.3,262.23,63.15,Yes,USA,IL,USAPL,,6/24/23,USA,MO,,STL Toasted Summer Throwdown,Yes
Blake Mink,M,SBD,Raw,16.5,16-17,14-18,MR-O,70.9,75,142.5,90,157.5,390,4,290.39,289.44,280.35,58.55,Yes,USA,IL,USAPL,,6/24/23,USA,MO,,STL Toasted Summer Throwdown,Yes
Evan Saeger,M,SBD,Raw,19.5,20-23,19-23,MR-O,83.8,90,210,122.5,232.5,565,4,379.39,375.02,360.58,77.83,Yes,USA,IL,USAPL,,6/24/23,USA,MO,,STL Toasted Summer Throwdown,Yes
Grayson Cook,M,SBD,Raw,19.5,20-23,19-23,MR-O,88.4,90,197.5,112.5,240,550,5,358.9,354.39,339.92,73.77,Yes,USA,IL,USAPL,,6/24/23,USA,MO,,STL Toasted Summer Throwdown,Yes
Nevin Bolin,M,SBD,Raw,19.5,20-23,19-23,MR-O,99.1,100,197.5,110,225,532.5,3,329.06,325.26,310.71,67.56,Yes,USA,IL,USAPL,,6/24/23,USA,MO,,STL Toasted Summer Throwdown,Yes
Timothy Crawford,M,SBD,Raw,46,45-49,40-49,MR-O,127,140,222.5,187.5,235,645,1,363.75,366.4,350.45,73.18,Yes,USA,IL,USAPL,,6/24/23,USA,MO,,STL Toasted Summer Throwdown,Yes
Sophia Choi,F,SBD,Raw,19.5,20-23,19-23,FR-O,54.6,56,80,55,117.5,252.5,2,297.67,303.05,268.21,61.23,Yes,USA,IL,USAPL,,11/18/23,USA,OH,,Beginner's Brawl,Yes
Yehoshua Lipsky,M,SBD,Raw,29.5,24-34,24-39,MR-O,97.5,100,187.5,95,230,512.5,2,318.99,315.18,301.19,65.53,Yes,USA,IL,USAPL,,11/18/23,USA,OH,,Beginner's Brawl,Yes
Austin Courtois,M,SBD,Raw,28.5,24-34,24-39,MR-O,98.3,100,127.5,77.5,157.5,362.5,2,224.81,222.16,212.26,46.17,Yes,USA,IL,USAPL,,7/10/22,USA,IN,,Indiana eclipse Classic,Yes
Damonte Owens,M,SBD,Raw,26.5,24-34,24-39,MR-O,88.9,90,237.5,147.5,272.5,657.5,2,427.8,422.41,405.06,87.94,Yes,USA,IL,USAPL,,9/10/22,USA,MO,,Legacy Series 2,Yes
Samuel Andrade,M,SBD,Raw,23.5,24-34,24-39,MR-O,124.65,125,270,160,237.5,667.5,2,378.65,380.59,364.3,76.33,Yes,USA,IL,USAPL,,9/10/22,USA,MO,,Legacy Series 2,Yes
Bryan Sibley,M,SBD,Raw,32.5,24-34,24-39,MR-O,81.5,82.5,165,127.5,212.5,505,3,344.47,340.81,328.11,70.55,Yes,USA,IL,USAPL,,9/10/22,USA,MO,,Legacy Series 2,Yes
Mallory Brown,F,SBD,Raw,26,24-34,24-39,FR-O,46.68,47,132.5,67.5,165,365,1,480.78,493.31,439.98,101.87,Yes,USA,IL,USAPL,IPF,3/7/20,USA,OH,,Arnold A7 Pro Raw Challenge,Yes
Angelo Fortino,M,SBD,Raw,26.5,24-34,24-39,MR-O,81.52,83,270,165,340.5,775.5,2,528.91,523.28,503.77,108.33,Yes,USA,IL,USAPL,IPF,3/7/20,USA,OH,,Arnold A7 Pro Raw Challenge,Yes
Cole Waggoner,M,SBD,Raw,19.5,20-23,19-23,MR-O,92.46,93,300,185,287.5,772.5,2,492.89,486.63,465.86,101.35,Yes,USA,IL,USAPL,IPF,3/7/20,USA,OH,,Arnold A7 Pro Raw Challenge,Yes
Austin Courtois,M,SBD,Raw,29.5,24-34,24-39,MR-O,95.7,100,140,85,192.5,417.5,2,262.08,258.84,247.49,53.86,Yes,USA,IL,USAPL,,7/8/23,USA,IN,,Indiana eclipse Classic,Yes
Sam Luckenbill,M,SBD,Raw,24,24-34,24-39,MR-O,112.8,125,237.5,145,265,647.5,2,379.95,378.23,361.8,77.36,Yes,USA,IL,USAPL,,7/8/23,USA,IN,,Indiana eclipse Classic,Yes
Anh Phan #2,F,SBD,Raw,23.5,24-34,24-39,FR-O,51.8,52,120,70,157.5,347.5,1,424.71,434.5,385.2,88.04,Yes,USA,IL,USAPL,,5/27/23,USA,MN,,Central and Midwest Regional Championships,Yes
Anna Hornbacher,F,SBD,Raw,23.5,24-34,24-39,FR-O,74.05,75,115,62.5,155,332.5,8,326.05,318.65,280.43,66.38,Yes,USA,IL,USAPL,,5/27/23,USA,MN,,Central and Midwest Regional Championships,Yes
Amanda Heath,F,SBD,Raw,24.5,24-34,24-39,FR-O,64.75,67.5,140,82.5,160,382.5,5,404.65,402.43,355.23,82.25,Yes,USA,IL,USAPL,,5/27/23,USA,MN,,Central and Midwest Regional Championships,Yes
Kate Regganie,F,SBD,Raw,25.5,24-34,24-39,FR-O,78.05,82.5,142.5,95,162.5,400,3,381.61,371.19,325.95,77.9,Yes,USA,IL,USAPL,,5/27/23,USA,MN,,Central and Midwest Regional Championships,Yes
Michelle Bovenizer,F,SBD,Raw,33,24-34,24-39,FR-O,80.8,82.5,125,70,185,380,5,356.29,345.8,303.09,72.9,Yes,USA,IL,USAPL,,5/27/23,USA,MN,,Central and Midwest Regional Championships,Yes
Aliki Hui,M,SBD,Raw,27,24-34,24-39,MR-O,72.85,75,245,160,287.5,692.5,1,506.3,503.75,487.35,102.5,Yes,USA,IL,USAPL,,5/27/23,USA,MN,,Central and Midwest Regional Championships,Yes
Elly Jdaidany,M,SBD,Raw,25,24-34,24-39,MR-O,87.7,90,240,175,275,690,5,452.12,446.48,428.4,92.91,Yes,USA,IL,USAPL,,5/27/23,USA,MN,,Central and Midwest Regional Championships,Yes
Jose Velgara-Rivera Jr,M,SBD,Raw,19.5,20-23,19-23,MR-O,89.25,90,210,115,225,550,13,357.14,352.63,338.08,73.42,Yes,USA,IL,USAPL,,5/27/23,USA,MN,,Central and Midwest Regional Championships,Yes
Isaiah Carrington,M,SBD,Raw,27.5,24-34,24-39,MR-O,99.5,100,247.5,160,305,712.5,3,439.51,434.49,415.03,90.22,Yes,USA,IL,USAPL,,5/27/23,USA,MN,,Central and Midwest Regional Championships,Yes
Zachary Marquez,M,SBD,Raw,19.5,20-23,19-23,MR-O,98.25,100,255,155,285,695,4,431.11,426.03,407.05,88.54,Yes,USA,IL,USAPL,,5/27/23,USA,MN,,Central and Midwest Regional Championships,Yes
Cameron DiMambro,M,SBD,Raw,19.5,20-23,19-23,MR-O,102.4,110,207.5,122.5,217.5,547.5,10,333.61,330.15,315.25,68.39,Yes,USA,IL,USAPL,,5/27/23,USA,MN,,Central and Midwest Regional Championships,Yes
Jacqueline Lunsford,F,SBD,Raw,26.5,24-34,24-39,FR-O,72.2,75,115,65,142.5,322.5,2,320.59,314.19,276.73,65.21,Yes,USA,IL,USAPL,,10/22/22,USA,IL,,Windy City Open,Yes
Allyce Torres,F,SBD,Raw,30.5,24-34,24-39,FR-O,86.35,90,122.5,62.5,145,330,1,299.75,290.38,253.33,61.67,Yes,USA,IL,USAPL,,10/22/22,USA,IL,,Windy City Open,Yes
Leslie Bounchaleunsouk,F,SBD,Raw,21.5,20-23,19-23,FR-O,67.4,67.5,107.5,42.5,132.5,282.5,1,291.9,288.63,254.62,59.31,Yes,USA,IL,USAPL,,10/22/22,USA,IL,,Windy City Open,Yes
Ashoor Micheal,M,SBD,Raw,25.5,24-34,24-39,MR-O,74,75,152.5,92.5,185,430,2,311.17,309.3,299.03,63.13,Yes,USA,IL,USAPL,,10/22/22,USA,IL,,Windy City Open,Yes
Bogdan Anghel,M,SBD,Raw,25.5,24-34,24-39,MR-O,86.2,90,180,142.5,207.5,530,2,350.45,346.19,332.43,71.98,Yes,USA,IL,USAPL,,10/22/22,USA,IL,,Windy City Open,Yes
Garrett Beattie,M,SBD,Raw,25.5,24-34,24-39,MR-O,85.8,90,177.5,115,215,507.5,3,336.41,332.35,319.21,69.09,Yes,USA,IL,USAPL,,10/22/22,USA,IL,,Windy City Open,Yes
Luke Deuser,M,SBD,Raw,28.5,24-34,24-39,MR-O,94,100,287.5,185,287.5,760,1,481.09,475.04,454.48,98.91,Yes,USA,IL,USAPL,,10/22/22,USA,IL,,Windy City Open,Yes
Deven Cuttino,M,SBD,Raw,25.5,24-34,24-39,MR-O,99.2,100,227.5,165,317.5,710,3,438.55,433.5,414.1,90.04,Yes,USA,IL,USAPL,,10/22/22,USA,IL,,Windy City Open,Yes
Alexander Girona,M,SBD,Raw,24.5,24-34,24-39,MR-O,98.9,100,242.5,137.5,242.5,622.5,4,385.01,380.55,363.54,79.06,Yes,USA,IL,USAPL,,10/22/22,USA,IL,,Windy City Open,Yes
Brian Jerszynski,M,SBD,Raw,40.5,40-44,40-49,MR-O,91.4,100,197.5,142.5,237.5,577.5,5,370.55,365.84,350.39,76.19,Yes,USA,IL,USAPL,,10/22/22,USA,IL,,Windy City Open,Yes
David James #1,M,SBD,Raw,29.5,24-34,24-39,MR-O,108.8,110,290,190,300,780,1,463.89,460.6,440.08,94.73,Yes,USA,IL,USAPL,,10/22/22,USA,IL,,Windy City Open,Yes
Trey Koenig,M,SBD,Raw,29,24-34,24-39,MR-O,107.8,110,292.5,190,280,762.5,2,455.1,451.6,431.4,93,Yes,USA,IL,USAPL,,10/22/22,USA,IL,,Windy City Open,Yes
Julian Jacquez,M,SBD,Raw,21.5,20-23,19-23,MR-O,106.6,110,280,175,265,720,3,431.62,428.01,408.78,88.27,Yes,USA,IL,USAPL,,10/22/22,USA,IL,,Windy City Open,Yes
Ryan Jarchow,M,SBD,Raw,19.5,20-23,19-23,MR-O,103,110,205,95,227.5,527.5,4,320.64,317.4,303.07,65.72,Yes,USA,IL,USAPL,,10/22/22,USA,IL,,Windy City Open,Yes
Mitchel Wojcik,M,SBD,Raw,24.5,24-34,24-39,MR-O,118.8,125,247.5,165,242.5,655,1,377.44,377.47,361.67,76.48,Yes,USA,IL,USAPL,,10/22/22,USA,IL,,Windy City Open,Yes
Lance Groat,M,SBD,Raw,52.5,50-54,50-59,MR-O,112.3,125,235,155,240,630,2,370.28,368.48,352.41,75.42,Yes,USA,IL,USAPL,,10/22/22,USA,IL,,Windy City Open,Yes
John Fawbush,M,SBD,Raw,27,24-34,24-39,MR-O,110.4,125,225,152.5,245,622.5,3,368.18,365.93,349.78,75.1,Yes,USA,IL,USAPL,,10/22/22,USA,IL,,Windy City Open,Yes
Grant Yu,M,SBD,Raw,23.5,24-34,24-39,MR-O,82,82.5,182.5,120,225,527.5,1,358.56,354.67,341.36,73.47,Yes,USA,IL,USAPL,,10/22/22,USA,IL,,Windy City Open,Yes
Dhrumil Shah,M,SBD,Raw,26.5,24-34,24-39,MR-O,82.2,82.5,125,100,150,375,3,254.55,251.77,242.29,52.16,Yes,USA,IL,USAPL,,10/22/22,USA,IL,,Windy City Open,Yes
Ricky Zheng,M,SBD,Raw,21.5,20-23,19-23,MR-O,89.5,90,255,167.5,277.5,700,1,453.9,448.15,429.61,93.32,Yes,USA,IL,USAPL,,9/3/22,USA,WI,,Stars And Stripes Open,Yes
Robert Spangler,M,SBD,Raw,25.5,24-34,24-39,MR-O,86.4,90,212.5,147.5,252.5,612.5,2,404.51,399.56,383.65,83.09,Yes,USA,IL,USAPL,,9/3/22,USA,WI,,Stars And Stripes Open,Yes
Alex Escamilla,M,SBD,Raw,17.5,18-19,14-18,MR-O,94.4,100,215,132.5,252.5,600,4,379.05,374.3,358.04,77.92,Yes,USA,IL,USAPL,,9/3/22,USA,WI,,Stars And Stripes Open,Yes
Amanda Sweeney,F,SBD,Raw,39.5,35-39,40-49,FR-O,109.7,84+,147.5,72.5,160,380,1,313.53,309.14,263.18,66.27,Yes,USA,IL,USAPL,IPF,10/16/21,USA,PA,,Philadelphia Fall Showdown,Yes
Lexie Pflug,F,SBD,Raw,25.5,24-34,24-39,FR-O,60.8,63,90,47.5,115,252.5,1,277.59,278.64,246.15,56.56,Yes,USA,IL,USAPL,IPF,2/29/20,USA,WI,,PF Opener,Yes
Lauren Gaines,F,SBD,Raw,29.5,24-34,24-39,FR-O,76.2,84,125,70,152.5,347.5,1,335.65,327.12,287.57,68.43,Yes,USA,IL,USAPL,IPF,2/29/20,USA,WI,,PF Opener,Yes
Emily Jones,F,SBD,Raw,37.5,35-39,24-39,FR-O,76.6,84,90,45,122.5,257.5,4,248.04,241.63,212.37,50.58,Yes,USA,IL,USAPL,IPF,2/29/20,USA,WI,,PF Opener,Yes
Jessica Rivera-Montejo,F,SBD,Raw,37,35-39,24-39,FR-O,116.3,84+,157.5,80,177.5,415,1,336.05,333.75,283.3,71.53,Yes,USA,IL,USAPL,IPF,2/29/20,USA,WI,,PF Opener,Yes
Lucie Burmeister,F,SBD,Raw,43.5,40-44,40-49,FR-O,109.4,84+,87.5,57.5,110,255,3,210.59,207.57,176.73,44.5,Yes,USA,IL,USAPL,IPF,2/29/20,USA,WI,,PF Opener,Yes
Jacob Doehring,M,SBD,Raw,21.5,20-23,19-23,MR-O,64.8,66,142.5,107.5,182.5,432.5,1,343.56,344.81,335.36,68.08,Yes,USA,IL,USAPL,IPF,2/29/20,USA,WI,,PF Opener,Yes
Zakary Prielipp,M,SBD,Raw,31,24-34,24-39,MR-O,81.65,83,165,115,182.5,462.5,3,315.15,311.78,300.13,64.56,Yes,USA,IL,USAPL,IPF,2/29/20,USA,WI,,PF Opener,Yes
Jonathan Herrera #1,M,SBD,Raw,16.5,16-17,14-18,MR-O,92.15,93,192.5,100,207.5,500,2,319.54,315.48,302.06,65.7,Yes,USA,IL,USAPL,IPF,2/29/20,USA,WI,,PF Opener,Yes
Adam Danzig,M,SBD,Raw,22.5,20-23,19-23,MR-O,106.45,120,182.5,147.5,220,550,1,329.89,327.11,312.4,67.47,Yes,USA,IL,USAPL,IPF,2/29/20,USA,WI,,PF Opener,Yes
Kaden Gammelgaard,M,SBD,Raw,17,16-17,14-18,MR-O,97.5,,250,160,282.5,692.5,2,431.03,425.87,406.97,88.55,Yes,USA,IL,USAPL,,4/2/22,USA,WI,,PF Series 1,Yes
Lance Groat,M,SBD,Raw,52,50-54,50-59,MR-O,108.1,,217.5,152.5,237.5,607.5,3,362.2,359.47,343.41,74,Yes,USA,IL,USAPL,,4/2/22,USA,WI,,PF Series 1,Yes
Alonso Rodriguez,M,SBD,Raw,23,20-23,19-23,MR-O,74.3,,207.5,137.5,237.5,582.5,4,420.42,417.8,403.86,85.34,Yes,USA,IL,USAPL,,4/2/22,USA,WI,,PF Series 1,Yes
Jose Velgara-Rivera Jr,M,SBD,Raw,18.5,18-19,19-23,MR-O,80.65,82.5,205,110,210,525,1,360.3,356.6,343.48,73.74,Yes,USA,IL,USAPL,,6/18/22,USA,OH,,Bad Dog Barbell Classic,Yes
Justin Varkey,M,SBD,Raw,22.5,20-23,19-23,MR-O,88.6,90,157.5,112.5,227.5,497.5,7,324.26,320.18,307.08,66.65,Yes,USA,IL,USAPL,,6/25/22,USA,TX,,Summer Power Fest,Yes
Jacob Weaver,M,SBD,Raw,23.5,24-34,24-39,MR-O,90.7,100,190,122.5,182.5,495,4,318.83,314.77,301.58,65.56,Yes,USA,IL,USAPL,,6/25/22,USA,TX,,Summer Power Fest,Yes
Ruite Gu,M,SBD,Raw,23.5,24-34,24-39,MR-O,83.6,90,187.5,140,240,567.5,3,381.57,377.2,362.72,78.27,Yes,USA,IL,USAPL,,4/22/23,USA,GA,,Georgia Spring Open,Yes
Theodore Kahn,M,SBD,Raw,20.5,20-23,19-23,MR-O,129.3,140,247.5,160,287.5,695,1,389.79,393.47,375.99,78.26,Yes,USA,IL,USAPL,,10/15/22,USA,OH,,Beyond Limits Fall Classic,Yes
Isabella Weber,F,SBD,Raw,18.5,18-19,19-23,FR-O,65.9,67.5,102.5,70,145,317.5,7,332.4,329.73,290.98,67.55,Yes,USA,IL,USAPL,,12/16/23,USA,FL,,South Florida Showdown,Yes
Jake Wilcox,M,SBD,Raw,22.5,20-23,19-23,MR-O,109.05,110,252.5,175,260,687.5,3,408.52,405.68,387.64,83.41,Yes,USA,IL,USAPL,,12/16/23,USA,FL,,South Florida Showdown,Yes
Paul Harayo,M,SBD,Raw,22.5,20-23,19-23,MR-O,113.2,125,325,195,325,845,1,495.2,493.11,471.74,100.8,Yes,USA,IL,USAPL,,12/16/23,USA,FL,,South Florida Showdown,Yes
Danny Le #2,M,SBD,Raw,22.5,20-23,19-23,MR-O,67.5,67.5,215,120,260,595,1,458.59,458.75,445.31,91.66,Yes,USA,IL,USAPL,,12/16/23,USA,FL,,South Florida Showdown,Yes
Angelo Fortino,M,SBD,Raw,27.5,24-34,24-39,MR-O,81.9,,292.5,157.5,350,800,8,544.17,538.29,518.11,111.49,Yes,USA,IL,USAPL,,12/4/21,USA,VA,,Virginia Pro,Yes
Peter Kim #3,M,SBD,Raw,32.5,24-34,24-39,MR-O,89.3,90,205,155,200,560,2,363.53,358.93,344.12,74.74,Yes,USA,IL,USAPL,,3/11/23,USA,IL,,Shamrock the Compound,Yes
Krystian Garbicz,M,SBD,Raw,22.5,20-23,19-23,MR-O,105.2,110,285,200,272.5,757.5,1,456.5,452.35,431.95,93.44,Yes,USA,IL,USAPL,,3/11/23,USA,IL,,Shamrock the Compound,Yes
Jessica DiGiovanni,F,SBD,Raw,24.5,24-34,24-39,FR-O,73.9,75,150,95,147.5,392.5,1,385.3,376.63,331.48,78.44,Yes,USA,IL,USAPL,,2/12/22,USA,OH,,Beyond Limits Classic,Yes
Natalie Shirley,F,SBD,Raw,24.5,24-34,24-39,FR-O,67.35,67.5,110,60,145,315,1,325.62,322.01,284.07,66.16,Yes,USA,IL,USAPL,,5/1/22,USA,OH,,PowerMania MMXXII,Yes
Quinn Farrell,M,SBD,Raw,22.5,20-23,19-23,MR-O,89.2,90,217.5,132.5,257.5,607.5,2,394.59,389.61,373.54,81.12,Yes,USA,IL,USAPL,,5/1/22,USA,OH,,PowerMania MMXXII,Yes
Sean Pike,M,SBD,Raw,22.5,20-23,19-23,MR-O,88.6,93,185,102.5,175,462.5,10,301.45,297.66,285.47,61.96,Yes,USA,IL,USAPL,IPF,12/12/20,USA,WI,,Liftmas Open,Yes
Grayze Sepe,F,SBD,Raw,24.5,24-34,24-39,FR-O,74,75,115,57.5,140,312.5,1,306.55,299.61,263.68,62.41,Yes,USA,IL,USAPL,,4/30/22,USA,GA,,Georgia Ladies of Iron,Yes
Arianne Rodriguez,F,SBD,Raw,31.5,24-34,24-39,FR-O,73.04,75,80,50,120,250,3,246.97,241.72,212.82,50.25,Yes,USA,IL,USAPL,,4/30/22,USA,GA,,Georgia Ladies of Iron,Yes
Angelica Torres,F,SBD,Raw,26.5,24-34,24-39,FR-O,51.35,52,60,25,92.5,177.5,1,218.26,223.43,198.15,45.31,Yes,USA,IL,USAPL,,1/27/24,USA,IL,,West Loop Winter Classic,Yes
Chandni Amin,F,SBD,Raw,23.5,24-34,24-39,FR-O,54.15,56,90,55,112.5,257.5,1,305.26,311.05,275.36,62.86,Yes,USA,IL,USAPL,,1/27/24,USA,IL,,West Loop Winter Classic,Yes
Abigail Weiss,F,SBD,Raw,22.5,20-23,19-23,FR-O,74.75,75,120,67.5,175,362.5,3,353.69,345.33,303.81,72.04,Yes,USA,IL,USAPL,,1/27/24,USA,IL,,West Loop Winter Classic,Yes
Arianne Rodriguez,F,SBD,Raw,33.5,24-34,24-39,FR-O,73.8,75,120,57.5,150,327.5,4,321.73,314.54,276.84,65.49,Yes,USA,IL,USAPL,,1/27/24,USA,IL,,West Loop Winter Classic,Yes
Amanee Teague,F,SBD,Raw,29.5,24-34,24-39,FR-O,69.45,75,110,67.5,145,322.5,5,327.58,322.59,284.41,66.57,Yes,USA,IL,USAPL,,1/27/24,USA,IL,,West Loop Winter Classic,Yes
Jo Hannah Sage,F,SBD,Raw,26,24-34,24-39,FR-O,99.2,100,157.5,77.5,170,405,1,346.69,338,290.66,72.39,Yes,USA,IL,USAPL,,1/27/24,USA,IL,,West Loop Winter Classic,Yes
Cristian A Lopez Sanchez,M,SBD,Raw,27.5,24-34,24-39,MR-O,69.8,75,207.5,127.5,242.5,577.5,1,434.66,433.72,420.38,87.41,Yes,USA,IL,USAPL,,1/27/24,USA,IL,,West Loop Winter Classic,Yes
Eric Li,M,SBD,Raw,24.5,24-34,24-39,MR-O,69,75,170,112.5,200,482.5,2,366.1,365.62,354.55,73.47,Yes,USA,IL,USAPL,,1/27/24,USA,IL,,West Loop Winter Classic,Yes
Gian Enriquez,M,SBD,Raw,24,24-34,24-39,MR-O,88.45,90,260,150,290,700,1,456.65,450.91,432.49,93.86,Yes,USA,IL,USAPL,,1/27/24,USA,IL,,West Loop Winter Classic,Yes
Devkumar Roy,M,SBD,Raw,23.5,24-34,24-39,MR-O,89.9,90,212.5,117.5,252.5,582.5,2,376.86,372.08,356.61,77.48,Yes,USA,IL,USAPL,,1/27/24,USA,IL,,West Loop Winter Classic,Yes
Nico Ortiz,M,SBD,Raw,19.5,20-23,19-23,MR-O,89.85,90,202.5,100,237.5,540,3,349.46,345.03,330.7,71.85,Yes,USA,IL,USAPL,,1/27/24,USA,IL,,West Loop Winter Classic,Yes
Jared Mowery,M,SBD,Raw,25.5,24-34,24-39,MR-O,99,100,215,130,250,595,1,367.84,363.59,347.33,75.53,Yes,USA,IL,USAPL,,1/27/24,USA,IL,,West Loop Winter Classic,Yes
James Parker #6,M,SBD,Raw,34.5,24-34,24-39,MR-O,106.1,110,155,110,195,460,2,276.27,273.89,261.56,56.52,Yes,USA,IL,USAPL,,1/27/24,USA,IL,,West Loop Winter Classic,Yes
Benjamin Villanueva,M,SBD,Raw,27.5,24-34,24-39,MR-O,67.3,67.5,190,115,220,525,2,405.51,405.75,393.91,81,Yes,USA,IL,USAPL,,1/27/24,USA,IL,,West Loop Winter Classic,Yes
Zsolt Veraszto,M,SBD,Raw,30.5,24-34,24-39,MR-O,82.3,82.5,190,130,200,520,1,352.73,348.86,335.71,72.29,Yes,USA,IL,USAPL,,1/27/24,USA,IL,,West Loop Winter Classic,Yes
Kelsey Morris,F,SBD,Raw,21,20-23,19-23,FR-O,56.1,57,97.5,62.5,142.5,302.5,3,350.22,355.43,314.38,71.82,Yes,USA,IL,USAPL,,12/12/21,USA,MO,,MO River Open,Yes
