Name,Sex,Event,Equipment,Age,AgeClass,BirthYearClass,Division,BodyweightKg,WeightClassKg,Best3Squat(lb),Best3Bench(lb),Best3Deadlift(lb),Total(lb),Place,Dots,Wilks,Glossbrenner,Goodlift,Tested,Country,State,Federation,ParentFederation,Date,MeetCountry,MeetState,MeetTown,MeetName,Sanctioned,Year
Abby Citrin,F,SBD,Raw,28.5,24-34,24-39,FR-O,62.0,63,330.69,176.368,396.82800000000003,903.8860000000001,1,445.3,445.71,393.65,90.64,Yes,USA,IL,USAPL,IPF,2018-03-10,USA,IA,,Quad City Throw Down,Yes,2018
Sarah Cupp,F,SBD,Raw,35.5,35-39,24-39,FR-O,66.4,72,325.17850000000004,203.9255,336.2015,865.3055,1,409.1,405.38,357.7,83.13,Yes,USA,IL,USAPL,IPF,2018-03-10,USA,IA,,Quad City Throw Down,Yes,2018
Stephanie Vasquez,F,SBD,Raw,35.5,35-39,24-39,FR-O,103.2,84+,292.1095,165.345,336.2015,793.6560000000001,2,303.54,297.13,254.21,63.68,Yes,USA,IL,USAPL,IPF,2018-03-10,USA,IA,,Quad City Throw Down,Yes,2018
Jacob Pezzuto,M,SBD,Raw,25.5,24-34,24-39,MR-O,82.2,83,424.38550000000004,259.0405,529.104,1212.53,2,373.34,369.26,355.36,76.51,Yes,USA,IL,USAPL,IPF,2018-03-10,USA,IA,,Quad City Throw Down,Yes,2018
Eddie Cupp,M,SBD,Raw,36.5,35-39,24-39,MR-O,74.6,83,347.22450000000003,236.99450000000002,336.2015,920.4205000000001,4,300.55,298.61,288.59,61.04,Yes,USA,IL,USAPL,IPF,2018-03-10,USA,IA,,Quad City Throw Down,Yes,2018
Ashley Asuncion,F,SBD,Raw,21.5,20-23,19-23,FR-O,69.2,72,275.575,187.39100000000002,314.1555,777.1215000000001,2,358.78,353.49,311.68,72.91,Yes,USA,IL,USAPL,IPF,2017-07-22,USA,WI,,Sweet Applewood Open,Yes,2017
Mike Porters,M,SBD,Raw,29.5,24-34,24-39,MR-O,91.6,93,490.5235,303.1325,523.5925,1317.2485000000001,2,382.97,378.1,362.1,78.75,Yes,USA,IL,USAPL,IPF,2017-07-22,USA,WI,,Sweet Applewood Open,Yes,2017
Neil Ypil,M,SBD,Raw,22.5,20-23,19-23,MR-O,67.1,74,380.2935,225.97150000000002,440.92,1047.185,4,367.69,367.98,357.3,73.4,Yes,USA,IL,USAPL,IPF,2017-07-22,USA,WI,,Sweet Applewood Open,Yes,2017
Sebastian Ortiz,M,SBD,Raw,17.0,16-17,14-18,MR-O,59.0,59,330.69,214.94850000000002,363.759,909.3975,5,353.05,357.3,349.24,68.26,Yes,USA,IL,USAPL,IPF,2017-07-22,USA,WI,,Sweet Applewood Open,Yes,2017
Sam Below,M,SBD,Raw,17.5,18-19,14-18,MR-O,68.2,74,352.736,242.506,418.874,1014.1160000000001,6,351.93,351.77,341.3,70.48,Yes,USA,IL,USAPL,IPF,2017-07-22,USA,WI,,Sweet Applewood Open,Yes,2017
Jenna Fox,F,SBD,Raw,27.5,24-34,24-39,FR-O,70.6,72,275.575,148.81050000000002,308.644,733.0295,1,334.64,328.86,289.82,68.03,Yes,USA,IL,USAPL,IPF,2020-03-14,USA,IA,,Quad City Throwdown,Yes,2020
Heather Wenzel,F,SBD,Raw,31.5,24-34,24-39,FR-O,51.8,52,231.483,99.20700000000001,286.598,617.288,1,342.21,350.1,310.38,70.94,Yes,USA,IL,USAPL,IPF,2020-03-14,USA,IA,,Quad City Throwdown,Yes,2020
Megan Bern,F,SBD,Raw,43.5,40-44,40-49,FR-O,82.0,84,270.06350000000003,148.81050000000002,330.69,749.5640000000001,1,316.5,306.97,268.8,64.83,Yes,USA,IL,USAPL,IPF,2020-03-14,USA,IA,,Quad City Throwdown,Yes,2020
